match_id,match_won_by,toss_winner,toss_decision,venue,team1,team2
501239,Kolkata Knight Riders,Deccan Chargers,field,"Rajiv Gandhi International Stadium, Uppal",Kolkata Knight Riders,Deccan Chargers
501240,Chennai Super Kings,Rajasthan Royals,bat,"MA Chidambaram Stadium, Chepauk",Rajasthan Royals,Chennai Super Kings
501241,Mumbai Indians,Pune Warriors,field,Dr DY Patil Sports Academy,Mumbai Indians,Pune Warriors
501242,Kochi Tuskers Kerala,Kolkata Knight Riders,field,Nehru Stadium,Kochi Tuskers Kerala,Kolkata Knight Riders
501243,Delhi Daredevils,Delhi Daredevils,field,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Delhi Daredevils
501244,Royal Challengers Bangalore,Kings XI Punjab,field,M Chinnaswamy Stadium,Royal Challengers Bangalore,Kings XI Punjab
501245,Kolkata Knight Riders,Chennai Super Kings,bat,Eden Gardens,Chennai Super Kings,Kolkata Knight Riders
501246,Mumbai Indians,Delhi Daredevils,field,Wankhede Stadium,Mumbai Indians,Delhi Daredevils
501247,Royal Challengers Bangalore,Kochi Tuskers Kerala,bat,M Chinnaswamy Stadium,Kochi Tuskers Kerala,Royal Challengers Bangalore
501248,Pune Warriors,Kings XI Punjab,bat,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Pune Warriors
501249,Chennai Super Kings,Rajasthan Royals,field,Sawai Mansingh Stadium,Chennai Super Kings,Rajasthan Royals
501250,Pune Warriors,Deccan Chargers,bat,"Rajiv Gandhi International Stadium, Uppal",Deccan Chargers,Pune Warriors
501251,Kings XI Punjab,Mumbai Indians,field,"Punjab Cricket Association Stadium, Mohali",Kings XI Punjab,Mumbai Indians
501252,Royal Challengers Bangalore,Royal Challengers Bangalore,field,Sawai Mansingh Stadium,Rajasthan Royals,Royal Challengers Bangalore
501253,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Delhi Daredevils
501254,Kings XI Punjab,Kings XI Punjab,field,Holkar Cricket Stadium,Kochi Tuskers Kerala,Kings XI Punjab
501255,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Kolkata Knight Riders,Royal Challengers Bangalore
501256,Deccan Chargers,Deccan Chargers,bat,Wankhede Stadium,Deccan Chargers,Mumbai Indians
501257,Kings XI Punjab,Delhi Daredevils,field,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Delhi Daredevils
501258,Kochi Tuskers Kerala,Kochi Tuskers Kerala,field,Holkar Cricket Stadium,Rajasthan Royals,Kochi Tuskers Kerala
501259,Deccan Chargers,Deccan Chargers,field,Dr DY Patil Sports Academy,Pune Warriors,Deccan Chargers
501260,Kings XI Punjab,Kings XI Punjab,bat,Himachal Pradesh Cricket Association Stadium,Kings XI Punjab,Royal Challengers Bangalore
501261,Chennai Super Kings,Chennai Super Kings,bat,"MA Chidambaram Stadium, Chepauk",Chennai Super Kings,Kochi Tuskers Kerala
501262,Kolkata Knight Riders,Kolkata Knight Riders,field,Dr DY Patil Sports Academy,Pune Warriors,Kolkata Knight Riders
501263,Rajasthan Royals,Mumbai Indians,bat,Wankhede Stadium,Mumbai Indians,Rajasthan Royals
501264,Deccan Chargers,Kings XI Punjab,field,Himachal Pradesh Cricket Association Stadium,Deccan Chargers,Kings XI Punjab
501265,Unknown,Delhi Daredevils,bat,Feroz Shah Kotla,Delhi Daredevils,Unknown
501266,Royal Challengers Bangalore,Royal Challengers Bangalore,field,M Chinnaswamy Stadium,Chennai Super Kings,Royal Challengers Bangalore
