matchId,team1,team2,tossWinner,venue,team1_runs,team2_runs,winner,team1_win
554,Zimbabwe,New Zealand,New Zealand,Seddon Park,200,202,New Zealand,0
555,West Indies,Pakistan,Pakistan,"Queen's Park Oval, Port of Spain",124,127,Pakistan,0
558,England,West Indies,West Indies,Eden Gardens,155,161,West Indies,0
56,Zimbabwe,Pakistan,Pakistan,Rawalpindi Cricket Stadium,156,157,Pakistan,0
561,India,England,England,Wankhede Stadium,177,181,England,0
563,New Zealand,England,England,Pallekele International Cricket Stadium,148,149,England,0
564,Sri Lanka,West Indies,Sri Lanka,Trent Bridge,192,177,Sri Lanka,1
568,India,West Indies,India,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,195,124,India,1
571,South Africa,England,England,Newlands,179,183,England,0
574,South Africa,Australia,Australia,Kingsmead,80,81,Australia,0
575,Afghanistan,Bangladesh,Bangladesh,Shere Bangla National Stadium,72,78,Bangladesh,0
577,Zimbabwe,India,India,Harare Sports Club,140,144,India,0
580,New Zealand,Bangladesh,Bangladesh,"Shere Bangla National Stadium, Mirpur",60,62,Bangladesh,0
581,Pakistan,Australia,Australia,Perth Stadium,106,109,Australia,0
590,Australia,England,England,The Rose Bowl,157,158,England,0
592,India,England,England,Narendra Modi Stadium,124,130,England,0
593,Afghanistan,West Indies,Afghanistan,Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,147,106,Afghanistan,1
595,Australia,New Zealand,Australia,Western Australia Cricket Association Ground,186,132,Australia,1
596,Pakistan,New Zealand,Pakistan,AMI Stadium,183,80,Pakistan,1
599,Afghanistan,West Indies,Afghanistan,"Vidarbha Cricket Association Stadium, Jamtha",123,117,Afghanistan,1
60,Pakistan,West Indies,Pakistan,"Queen's Park Oval, Port of Spain",132,129,Pakistan,1
600,Sri Lanka,India,India,Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,82,84,India,0
601,Pakistan,South Africa,Pakistan,Gaddafi Stadium,169,166,Pakistan,1
602,South Africa,West Indies,South Africa,"National Cricket Stadium, St George's, Grenada",168,143,South Africa,1
606,South Africa,India,South Africa,Trent Bridge,130,118,South Africa,1
